date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:29	26955/26955	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Mar%202018%2004:09:42%20GMT	http://trimatrixlab.com/store/mati/	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/index.html	(from )
21:19:29	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2021%20Jun%202019%2002:19:28%20GMT	http://trimatrixlab.com/robots.txt		(from )
21:19:30	763/763	---M--	200	added ('OK')	image/png	etag:%222fb-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/apple-icon.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/apple-icon.png	(from http://trimatrixlab.com/store/mati/)
21:19:30	943/943	---M--	200	added ('OK')	image/png	etag:%223af-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/favicon.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/favicon.png	(from http://trimatrixlab.com/store/mati/)
21:19:31	32440/32440	---M--	200	added ('OK')	text/css	etag:%227eb8-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/css/vendor/font-awesome.min.css	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/css/vendor/font-awesome.min.css	(from http://trimatrixlab.com/store/mati/)
21:19:32	7471/7471	---M--	200	added ('OK')	text/css	etag:%221d2f-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/css/vendor/magnific-popup.css	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/css/vendor/magnific-popup.css	(from http://trimatrixlab.com/store/mati/)
21:19:33	109998/109998	---M--	200	added ('OK')	text/css	etag:%221adae-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/css/vendor/bootstrap.min.css	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/css/vendor/bootstrap.min.css	(from http://trimatrixlab.com/store/mati/)
21:19:34	155984/155984	---M--	200	added ('OK')	text/css	etag:%2226150-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/css/style.css	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/css/style.css	(from http://trimatrixlab.com/store/mati/)
21:19:36	829/829	---M--	200	added ('OK')	text/css	etag:%2233d-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/toggle/toggle.css	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/toggle/toggle.css	(from http://trimatrixlab.com/store/mati/)
21:19:37	15250/15250	---M--	200	added ('OK')	application/x-javascript	etag:%223b92-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/js/vendor/modernizr.js	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/js/vendor/modernizr.js	(from http://trimatrixlab.com/store/mati/)
21:19:37	26955/26955	---M-Z	200	added ('OK')	text/html	etag:%22694b-566a27ed24d80-gzip%22	http://trimatrixlab.com/store/mati/index.html	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/index-2.html	(from http://trimatrixlab.com/store/mati/)
21:19:39	39403/39403	---M--	200	added ('OK')	image/jpeg	etag:%2299eb-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/christian.jpeg	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/christian.jpg	(from http://trimatrixlab.com/store/mati/)
21:19:44	43295/43295	---M--	200	added ('OK')	image/png	etag:%22a91f-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/portfolio-images/port-1.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/portfolio-images/port-1.png	(from http://trimatrixlab.com/store/mati/)
21:19:44	27969/27969	---M--	200	added ('OK')	image/png	etag:%226d41-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/portfolio-images/port-2.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/portfolio-images/port-2.png	(from http://trimatrixlab.com/store/mati/)
21:19:44	25955/25955	---M--	200	added ('OK')	image/png	etag:%226563-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/portfolio-images/port-3.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/portfolio-images/port-3.png	(from http://trimatrixlab.com/store/mati/)
21:19:48	23835/23835	---M--	200	added ('OK')	image/png	etag:%225d1b-566a27ef0d200%22	http://trimatrixlab.com/store/mati/assets/img/portfolio-images/port-5.png	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/img/portfolio-images/port-5.png	(from http://trimatrixlab.com/store/mati/)
21:19:48	85582/85582	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Mar%202018%2004:09:46%20GMT	http://trimatrixlab.com/store/mati/assets/js/vendor/jquery-2.2.4.min.js	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/js/vendor/jquery-2.2.4.min.js	(from http://trimatrixlab.com/store/mati/)
21:19:50	7784/7784	---M--	200	added ('OK')	application/x-javascript	etag:%221e68-566a27f0f5680%22	http://trimatrixlab.com/store/mati/assets/js/vendor/jquery.mobile.custom.min.js	C:/Users/Ninoska%20Vivas%20Rivas/Downloads/Portfolio2/trimatrixlab.com/store/mati/assets/js/vendor/jquery.mobile.custom.min.js	(from http://trimatrixlab.com/store/mati/)
